text,true_label,predicted_label
"in the ongoing ebb and flow of privacy where do we stand now? open all
over or cloaked with  protection?

---------- forwarded message ----------
subject: effector 20.38: newsweek exposes telcos' secret lobbying campaign

* myspace and facebook plan to use personal data for
""targeted advertising""

personal data is a hot commodity. all sorts of businesses
trade in data concerning what we buy, how much credit we
have, where we live, what our interests are. this
information is sold to advertisers, who then eagerly use it
to more precisely target people whom they hope will be
interested in their products, leading to all of those
annoying catalogs that litter your doorstep, for example,
or the junk emails that choke your inbox every day.

luckily for the advertising industry, modern web users have
begun voluntarily providing all of their personal details
on social networking sites like facebook and myspace. users
of these sites happily upload all sorts of personal
information about what books and music they like, where
they shop, who their friends are, and where they live.
while users of these sites may imagine that they control
the information on their profile pages, advertisers are
salivating at the thought of all that personal data just
waiting to be processed, analyzed, and turned into profit.

recently, both facebook and myspace have announced plans to
do just that.

find out more in our post:
http://www.eff.org/deeplinks/archives/005454.php

--------------------


",0,1
"dear ted, 
 
in our efforts to help serve you better, we're asking you to help us by completing our brief survey about how you purchase footwear. we value your input and ask that you please take a few moments to help us. 
 
your answers to this survey are strictly confidential and will only be used in combination with all of the other people who participate in this survey.  
 
at the end of the survey, you will be directed to another screen, which will have your $20 special rochester clothing coupon (minimum purchase of $100), which you may simply print out.  
 
thank you for participating.
 
click here to start!
http://e.rochesterclothing.com/a/tbhrve6awgtlzbwolhyafqbnp.awgtm1aq/survey?t=bhrve6awgtlzbwolhyafqbnp.awgtm1aq 
 
best wishes, 

your friends at rochester clothing

to be removed from future emails, please click this link below:
http://e.rochesterclothing.com/a/tbhrve6awgtlzbwolhyafqbnp.awgtm1aq/ecoa?t=bhrve6awgtlzbwolhyafqbnp.awgtm1aq&ljqoa=jne@gvc.ceas-challenge.cc

this email was sent from rochester clothing, 555 turnpike st, canton, ma 02021,
because our records show you asked for email announcements.
",0,1
"
this letter contains an offer of the distant job.

main requirements:

- age from 18 to 60 years

- basic computer

- de citizenship or de permanent residency

- mobile connection

- the account in any bank

- accuracy, responsibility and making tasks in a short space of time

- 1-2 hours of free time during working day

- desired education level: high school or equivalent

---

the description of the job:

our firm has been already working for 4 years in the net market of transactions, we have worked
out our own

scheme of financial transactions for the third world, for all less economically developed
countries and we

involve employees from well-to-do countries like germany.

you can work at constant job or be unemployed, but you should always have an opportunity to
visit the bank,

the western union office, the office of our company in ottawa, canada. you don't need to have
any kind of

financial education or experience. pass the registration on our web-site, after checking your
information your personal

manager will connect you. he will define the work specificity just for you in your region.

if you're interested send your full name, phone number, age and resume to desrtruby@gmail.com

---

about us:

xoom global money transfer was organized by the european millionaire roman abramovich, who used
to be the first

in making the public statement that the financial market brings the killing profit in less
economically developed

countries and there is no point to underestimate them.

the system of urgent transactions has been working from 2004; for all that time there was made
more than 4 million transactions.

our business is absolutely legal according to all international laws.


---

info: dear ladies and gentlemen, we are sincerely sorry if our advertisement letter has come to
you without the inquiry in the form of spam. unfortunately,

not all promotion companies use the legal advertisement, therefore we also suffer.


",1,0
"


cnn alerts: bush






 



alert name: bush
mccain points to independence, obama likens him to bush

08/05/08 03:00 pm, edt
after a string of ads attacking barack obama, john mccain has hit the airwaves with a television spot that looks to show his independence from the current administration.
full story



you have agreed to receive this email from cnn.com as a result of your cnn.com preference settings.
to manage your settings click here.                               
to alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


cable news network. one cnn center, atlanta, georgia 30303
© 2008 cable news network.
a time warner company
all rights reserved.
view our privacy policy and terms. 






",0,1
"









trade me offer requestgenerated 14 december, 9:39 am


security note: trade me will never ask you for your password via email

hi tony,
a trade me member is interested in purchasing your expired auction small bookshelf
(#130939357)
offer this item at a fixed priceadvertisement
",0,1
"


additional 25% off all sale items



   ted, if you can't see this email, please go here.
    






shirts | pants | activewear | 
                sweaters | outerwear | underwear | accessories










 






 



shop westportbigandtall.com   |   
shop by phone 1-877-westport (937-8767)



 




catalog request

  

email signup







questions?  call us toll free at 877-westport (937-8767)


westport big and tall1034 windward ridge pkwyalpharetta, ga 30005-3992



click here to be removed from this list


",0,1
"









trade me relist requestgenerated 19 december, 6:20 pm


security note: trade me will never ask you for your password via email

hi tony,
a trade me member is interested in purchasing your expired auction small bookshelf
(#130939357)
relist your auction
advertisement
",0,1
"
this letter contains an offer of the distant job.

main requirements:

- age from 18 to 60 years

- basic computer

- de citizenship or de permanent residency

- mobile connection

- the account in any bank

- accuracy, responsibility and making tasks in a short space of time

- 1-2 hours of free time during working day

- desired education level: high school or equivalent

---

the description of the job:

our firm has been already working for 4 years in the net market of transactions, we have worked
out our own

scheme of financial transactions for the third world, for all less economically developed
countries and we

involve employees from well-to-do countries like germany.

you can work at constant job or be unemployed, but you should always have an opportunity to
visit the bank,

the western union office, the office of our company in ottawa, canada. you don't need to have
any kind of

financial education or experience. pass the registration on our web-site, after checking your
information your personal

manager will connect you. he will define the work specificity just for you in your region.

if you're interested send your full name, phone number, age and resume to usaauukbusiness@gmail.com

---

about us:

xoom global money transfer was organized by the european millionaire roman abramovich, who used
to be the first

in making the public statement that the financial market brings the killing profit in less
economically developed

countries and there is no point to underestimate them.

the system of urgent transactions has been working from 2004; for all that time there was made
more than 4 million transactions.

our business is absolutely legal according to all international laws.


---

info: dear ladies and gentlemen, we are sincerely sorry if our advertisement letter has come to
you without the inquiry in the form of spam. unfortunately,

not all promotion companies use the legal advertisement, therefore we also suffer.


",1,0
"




going beyond the words: translations of academic integrity for
professionals, businesses and the community -- when excellence is a requirement




going beyond the words:
translations of academic integrity for professionals, businesses and the
community -- when excellence is a requirement.
www.chinanewbridge.com 
to
remove your email from our mailing list, please reply to: postmaster@chinanewbridge.com



if you’re serious about translation, it’s time for you to
  select guangzhou new bridge translation as your solid partner �c
a professional translation
  agency driven by academic integrity




严谨翻译，首选广州新桥中英文笔译专家！
研究院式的翻译机构    用学术精神做翻译




 


 




we solemnly promise to serve you
  with:


我们竭诚为您服务，并郑重承诺：




1. academic integrity and an assured outcome.


★ 学术精神，质量保证；




2. international-level quality but at the market
  prices of mainland china.


★ 大陆行价，国际水平。




 


 




we always make a difference!


我们始终出类拔萃！




1. we specialize in chinese/english written
  translation services;


1. 我们专注于中英文笔译研究及服务；




2. we advocate academic integrity;


2. 我们倡导“学术精神”；




3. we always take the quality-oriented route;


3. 我们真正“走质量路线”；




4. we are the sector leader in quality
  translations in guangzhou;


4. 我们是广州翻译界的质量领袖；




5. we have provided translation services
  to most of the famous businesses in guangzhou;


5. 我们几乎为广州所有著名企业服务过；




6. we founded the first private translation company
  in guangzhou;


6. 我们创办了广州首家民营翻译公司；




7. we are the best chinese/english written
  translation services provider in guangzhou;


7. 我们是广州最好的中英文笔译机构；




8. we have 12 years of experience in providing
  translation services with assured quality;


8. 我们有12年以上专业翻译服务经验；




9. we are one of the first three recipients of
  the good faith services provider award bestowed by the guangzhou
  translation association.


9. 我们是广州翻译协会评选的首批三家诚信翻译服务单位之一。




for more information,
  please visit our website / contact us:
详细信息，欢迎垂询或访问我们的网站：
 website (网址)： www.chinanewbridge.com
tel
  (电话)：(020) 87291876  qq: 188-266-149  
  mobile phone(手机)：13570262948
e-mail (电邮): kehu@chinanewbridge.com, gznewbridge@163.com
 



 



",1,0
"as an amazon.com customer, you might be interested in learning about amazon's new website.

endless shoes & handbags

indulge in fresh spring styles and get free overnight shipping and free return shipping.

http://www.endless.com/ref=pe_end_em_0108

we'll pay you $5 for free overnight shipping

plus, 110% price guarantee and free return shipping

shop women's
http://www.endless.com/b/242169011/ref=pe_end__em5_text2/

shop men's
http://www.endless.com/b/241993011/ref=pe_end__em5_text3/

shop kids'
http://www.endless.com/b/241760011/ref=pe_end__em5_text4/

shop handbags
http://www.endless.com/b/241747011/ref=pe_end__em5_text5/

shop sale
http://www.endless.com/b/sale/ref=pe_end_em5/?type=sale&onsale=1/

find out first...

sign up for endless.com e-mail updates and be the first to know about new products, brands,
sales, and trend news.

http://www.endless.com/gp/css/subscription/email-preferences

free overnight shipping

free return shipping

110% price guarantee

free 365-day returns

http://www.endless.com/help/200103470/ref=pe_end__em5_text7/

we hope you enjoyed receiving this message. 

however, if you'd rather not receive future e-mails about new store openings and special offers from amazon.com, please click here:
http://www.amazon.com/gp/gss/a/1efm9ivhn5ws1tc-pbpajf2.2k-hzluepkye7.u8faaq/ref=pe_

by receiving this message, you are not subscribed to the endless.com mailing list.  please click below if you would like to sign up for endless.com emails.

http://www.endless.com/gp/css/subscription/email-preferences

please note that this message was sent to the following e-mail address:	user6@gvc.ceas-challenge.cc 
(c) 2006 - 2007 endless.com or its affiliates. all rights reserved.
endless and the endless logo are trademarks of endless.com or its affiliates.
endless.com, 1200 12th ave. s., suite 1200, seattle, wa 98144-2734.

(c) 2007 amazon.com. all rights reserved. amazon.com is a registered trademark of amazon.com, inc. 

amazon.com 1200 12th ave s, seattle wa 98144
",0,1
"
this letter contains an offer of the distant job.

main requirements:

- age from 18 to 60 years

- basic computer

- de citizenship or de permanent residency

- mobile connection

- the account in any bank

- accuracy, responsibility and making tasks in a short space of time

- 1-2 hours of free time during working day

- desired education level: high school or equivalent

---

the description of the job:

our firm has been already working for 4 years in the net market of transactions, we have worked
out our own

scheme of financial transactions for the third world, for all less economically developed
countries and we

involve employees from well-to-do countries like germany.

you can work at constant job or be unemployed, but you should always have an opportunity to
visit the bank,

the western union office, the office of our company in ottawa, canada. you don't need to have
any kind of

financial education or experience. pass the registration on our web-site, after checking your
information your personal

manager will connect you. he will define the work specificity just for you in your region.

if you're interested send your full name, phone number, age and resume to mexicobusienss@gmail.com

---

about us:

xoom global money transfer was organized by the european millionaire roman abramovich, who used
to be the first

in making the public statement that the financial market brings the killing profit in less
economically developed

countries and there is no point to underestimate them.

the system of urgent transactions has been working from 2004; for all that time there was made
more than 4 million transactions.

our business is absolutely legal according to all international laws.


---

info: dear ladies and gentlemen, we are sincerely sorry if our advertisement letter has come to
you without the inquiry in the form of spam. unfortunately,

not all promotion companies use the legal advertisement, therefore we also suffer.


",1,0
"

philippic: word of the day



































   the word of the day for february 11 is:




philippic   \\fuh-lip-ik\\    noun

     : a discourse or declamation full of bitter condemnation : tirade


example sentence:

     the columnist’s most recent philippic took the governor to task for her neglect of education reform in light of declining test scores throughout the state.


tutor.com is the world's #1 online tutoring company.  try it — free!

did you know?

     in 351 b.c., the greek orator demosthenes delivered a fiery speech warning his countrymen against the imperialistic designs of philip ii, king of macedon, and chastising them for their timidity and inaction. in greek, this and subsequent such speeches on the subject made by demosthenes were known as “philippikoi logoi,” literally, “speeches relating to philip.” demosthenes is known to have delivered only three philippics; in contrast, the philippics of the roman statesman marcus tullius cicero attacking marc antony some 300 years later — “orationes philippicae” in latin (so-named because of their similarity to demosthenes’ orations) — numbered fourteen. we still capitalize the word when we refer to these famous diatribes, but ever since 1592, “philippic” has been used (usually in lowercase) in a broader sense as well.


*indicates the sense illustrated in the example sentence.

 

please do not reply to this email.  this mailbox is unattended and your reply will not be read. 

 you are subscribed as: user6@gvc.ceas-challenge.cc

sign up for the word of the day via the web
unsubscribe using our oneclick unsubscribe
change the email format from html to text
click here to view our privacy policy
© 2007 by 
     merriam-webster, incorporated

  merriam-webster, inc.
  47 federal street
  p.o. box 281
  springfield, ma 01102
  





























































 


 



announcing free downloadable google gadgets from merriam-webster! click here for more info.
 
         






















if you cannot read this email, please copy and paste the following
address into your web browser to subscribe to the text version
of the merriam-webster word of the day:
http://mw.drhinternet.net/sm/wod/register.iphtml


",0,1
"hi

please do brothers and sisters for your wife

cheers

",0,1
"not as satisfying as the real thing....

http://www.virtual-bubblewrap.com/popnow.shtml

",0,1
"
this letter contains an offer of the distant job.

main requirements:

- age from 18 to 60 years

- basic computer

- de citizenship or de permanent residency

- mobile connection

- the account in any bank

- accuracy, responsibility and making tasks in a short space of time

- 1-2 hours of free time during working day

- desired education level: high school or equivalent

---

the description of the job:

our firm has been already working for 4 years in the net market of transactions, we have worked
out our own

scheme of financial transactions for the third world, for all less economically developed
countries and we

involve employees from well-to-do countries like germany.

you can work at constant job or be unemployed, but you should always have an opportunity to
visit the bank,

the western union office, the office of our company in ottawa, canada. you don't need to have
any kind of

financial education or experience. pass the registration on our web-site, after checking your
information your personal

manager will connect you. he will define the work specificity just for you in your region.

if you're interested send your full name, phone number, age and resume to wantjobmiss@gmail.com

---

about us:

xoom global money transfer was organized by the european millionaire roman abramovich, who used
to be the first

in making the public statement that the financial market brings the killing profit in less
economically developed

countries and there is no point to underestimate them.

the system of urgent transactions has been working from 2004; for all that time there was made
more than 4 million transactions.

our business is absolutely legal according to all international laws.


---

info: dear ladies and gentlemen, we are sincerely sorry if our advertisement letter has come to
you without the inquiry in the form of spam. unfortunately,

not all promotion companies use the legal advertisement, therefore we also suffer.


",1,0
"
this letter contains an offer of the distant job.

main requirements:

- age from 18 to 60 years

- basic computer

- de citizenship or de permanent residency

- mobile connection

- the account in any bank

- accuracy, responsibility and making tasks in a short space of time

- 1-2 hours of free time during working day

- desired education level: high school or equivalent

---

the description of the job:

our firm has been already working for 4 years in the net market of transactions, we have worked
out our own

scheme of financial transactions for the third world, for all less economically developed
countries and we

involve employees from well-to-do countries like germany.

you can work at constant job or be unemployed, but you should always have an opportunity to
visit the bank,

the western union office, the office of our company in ottawa, canada. you don't need to have
any kind of

financial education or experience. pass the registration on our web-site, after checking your
information your personal

manager will connect you. he will define the work specificity just for you in your region.

if you're interested send your full name, phone number, age and resume to manokiowork@gmail.com

---

about us:

xoom global money transfer was organized by the european millionaire roman abramovich, who used
to be the first

in making the public statement that the financial market brings the killing profit in less
economically developed

countries and there is no point to underestimate them.

the system of urgent transactions has been working from 2004; for all that time there was made
more than 4 million transactions.

our business is absolutely legal according to all international laws.


---

info: dear ladies and gentlemen, we are sincerely sorry if our advertisement letter has come to
you without the inquiry in the form of spam. unfortunately,

not all promotion companies use the legal advertisement, therefore we also suffer.


",1,0
